Variant SKU,Variant Inventory Qty,Variant Command
3324644,9,UPDATE
3334263,8,UPDATE
3334272,8,UPDATE
3334281,3,UPDATE
3334290,3,UPDATE
3335412,12,UPDATE
3345239,39,UPDATE
3345289,39,UPDATE
3345339,79,UPDATE
3345389,79,UPDATE
3345419,39,UPDATE
3348185,79,UPDATE
3348305,39,UPDATE
3348355,79,UPDATE
3348545,97,UPDATE
3348565,47,UPDATE
3349264,79,UPDATE
3349271,39,UPDATE
3349278,39,UPDATE
3349285,79,UPDATE
3349292,39,UPDATE
3349313,79,UPDATE
3349327,79,UPDATE
3349334,79,UPDATE
3349341,79,UPDATE
3349348,39,UPDATE
3349355,79,UPDATE
3349362,79,UPDATE
3349369,79,UPDATE
3349376,79,UPDATE
3349383,79,UPDATE
3349516,97,UPDATE
3349537,97,UPDATE
3349544,47,UPDATE
3349551,97,UPDATE
3349558,47,UPDATE
3349572,97,UPDATE
3349579,97,UPDATE
3349586,97,UPDATE
3349593,97,UPDATE
3349600,47,UPDATE
3349607,97,UPDATE
3349621,97,UPDATE
3349628,97,UPDATE
3349635,97,UPDATE
3379049,36,UPDATE
3379483,56,UPDATE
3379484,56,UPDATE
4102734,23,UPDATE
862106,108,UPDATE
862733,110,UPDATE
865073,8,UPDATE
3095013,148,UPDATE
46490,60,UPDATE
244074,14,UPDATE
805122,124,UPDATE
805737,4,UPDATE
807190,10,UPDATE
826013,138,UPDATE
354085,15,UPDATE
242403,31,UPDATE
274883,21,UPDATE
314175,102,UPDATE
324058,79,UPDATE
345753,89,UPDATE
346089,199,UPDATE
361396,138,UPDATE
806684,86,UPDATE
3059751,102,UPDATE
3061595,32,UPDATE
3063017,36,UPDATE
3064121,151,UPDATE
3065385,64,UPDATE
3069506,172,UPDATE
3069609,45,UPDATE
3069798,61,UPDATE
3069906,172,UPDATE
3070009,45,UPDATE
3075062,36,UPDATE
40878,75,UPDATE
807280,161,UPDATE
315443,122,UPDATE
284388,110,UPDATE
90868,140,UPDATE
317226,122,UPDATE
148800,50,UPDATE
343584,77,UPDATE
40618,40,UPDATE
326676,52,UPDATE
335971,97,UPDATE
43011,127,UPDATE
148802,48,UPDATE
813375,87,UPDATE
245627,200,UPDATE
242190,131,UPDATE
48642,107,UPDATE
312491,137,UPDATE
245625,200,UPDATE
330260,48,UPDATE
92824,52,UPDATE
363173,45,UPDATE
3116323,199,UPDATE
3116714,23,UPDATE
3116804,106,UPDATE
3117930,150,UPDATE
3117979,98,UPDATE
3118791,149,UPDATE
3118906,38,UPDATE
3119072,32,UPDATE
3119554,150,UPDATE
3120052,65,UPDATE
3120534,192,UPDATE
3121409,7,UPDATE
3122398,150,UPDATE
3122415,199,UPDATE
3123259,149,UPDATE
3123540,32,UPDATE
3126207,59,UPDATE
3126607,58,UPDATE
3127037,15,UPDATE
3127170,54,UPDATE
3127767,58,UPDATE
3129755,59,UPDATE
3130555,58,UPDATE
3130630,7,UPDATE
3131875,16,UPDATE
3132275,16,UPDATE
3133949,15,UPDATE
3137953,32,UPDATE
3138294,156,UPDATE
3140099,59,UPDATE
3140419,58,UPDATE
3140529,15,UPDATE
3140899,58,UPDATE
3140974,7,UPDATE
3141579,58,UPDATE
3144347,129,UPDATE
3144385,58,UPDATE
3141979,54,UPDATE
241477,147,UPDATE
47926,10,UPDATE
310601,142,UPDATE
312308,78,UPDATE
311976,62,UPDATE
134482,15,UPDATE
134507,17,UPDATE
240473,78,UPDATE
322701,59,UPDATE
282451,33,UPDATE
814482,8,UPDATE
42567,21,UPDATE
814310,11,UPDATE
815211,165,UPDATE
133517,63,UPDATE
241359,146,UPDATE
244131,30,UPDATE
246459,41,UPDATE
319307,49,UPDATE
311117,198,UPDATE
804241,149,UPDATE
819810,138,UPDATE
284458,47,UPDATE
342968,194,UPDATE
148951,25,UPDATE
336416,22,UPDATE
152187,63,UPDATE
240155,80,UPDATE
800066,51,UPDATE
323565,0,UPDATE
