Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Command
10185,799.0,,341.0,UPDATE
10186,1099.0,,465.0,UPDATE
10295,1399.0,,620.0,UPDATE
3121505,849.0,,348.0,UPDATE
130203,549.0,,192.0,UPDATE
130369,699.0,,286.0,UPDATE
130371,849.0,,328.0,UPDATE
130375,699.0,,290.0,UPDATE
130796,449.0,,176.0,UPDATE
130798,749.0,,297.0,UPDATE
130799,1349.0,,603.0,UPDATE
131248,749.0,,275.0,UPDATE
131256,899.0,,363.0,UPDATE
131257,799.0,,343.0,UPDATE
131268,749.0,,308.0,UPDATE
131269,799.0,,337.0,UPDATE
131273,899.0,,375.0,UPDATE
131276,699.0,,281.0,UPDATE
131281,749.0,,310.0,UPDATE
131283,849.0,,353.0,UPDATE
131289,1099.0,,467.0,UPDATE
131290,749.0,,275.0,UPDATE
131292,749.0,,323.0,UPDATE
131298,899.0,,364.0,UPDATE
131299,849.0,,365.0,UPDATE
131301,899.0,,379.0,UPDATE
131586,849.0,,368.0,UPDATE
132201,749.0,,311.0,UPDATE
132209,799.0,,344.0,UPDATE
132213,749.0,,298.0,UPDATE
132214,799.0,,339.0,UPDATE
132692,549.0,,222.0,UPDATE
132693,599.0,,238.0,UPDATE
132696,749.0,,297.0,UPDATE
132698,649.0,,259.0,UPDATE
132700,649.0,,269.0,UPDATE
132702,349.0,,143.0,UPDATE
132707,399.0,,162.0,UPDATE
132709,449.0,,179.0,UPDATE
132713,499.0,,205.0,UPDATE
132715,549.0,,221.0,UPDATE
133228,499.0,,190.0,UPDATE
133229,399.0,,158.0,UPDATE
133489,1099.0,,472.0,UPDATE
133494,799.0,,328.0,UPDATE
133499,899.0,,383.0,UPDATE
133502,999.0,,432.0,UPDATE
133504,749.0,,326.0,UPDATE
133512,949.0,,408.0,UPDATE
133518,849.0,,345.0,UPDATE
133668,499.0,,207.0,UPDATE
133669,749.0,,300.0,UPDATE
133670,899.0,,375.0,UPDATE
133675,849.0,,350.0,UPDATE
133679,799.0,,327.0,UPDATE
133687,599.0,,249.0,UPDATE
133688,649.0,,253.0,UPDATE
133691,749.0,,314.0,UPDATE
133702,499.0,,205.0,UPDATE
133703,749.0,,294.0,UPDATE
133712,999.0,,398.0,UPDATE
133713,549.0,,211.0,UPDATE
133714,949.0,,401.0,UPDATE
133724,799.0,,335.0,UPDATE
133761,549.0,,199.0,UPDATE
133874,699.0,,301.0,UPDATE
133878,849.0,,348.0,UPDATE
133879,849.0,,348.0,UPDATE
133889,899.0,,374.0,UPDATE
133898,949.0,,405.0,UPDATE
133899,899.0,,375.0,UPDATE
133901,1149.0,,491.0,UPDATE
133903,1149.0,,492.0,UPDATE
133907,1149.0,,481.0,UPDATE
134415,649.0,,258.0,UPDATE
134416,549.0,,216.0,UPDATE
134421,599.0,,232.0,UPDATE
134422,549.0,,210.0,UPDATE
134425,499.0,,200.0,UPDATE
134432,549.0,,213.0,UPDATE
134436,499.0,,208.0,UPDATE
134438,499.0,,195.0,UPDATE
134445,549.0,,227.0,UPDATE
134446,549.0,,222.0,UPDATE
134456,549.0,,213.0,UPDATE
3131953,4249.0,,2006.0,UPDATE
134465,549.0,,215.0,UPDATE
134468,549.0,,211.0,UPDATE
134477,599.0,,235.0,UPDATE
134490,649.0,,256.0,UPDATE
134492,549.0,,219.0,UPDATE
134493,549.0,,221.0,UPDATE
134494,649.0,,265.0,UPDATE
134500,549.0,,219.0,UPDATE
134518,649.0,,255.0,UPDATE
134521,599.0,,240.0,UPDATE
134532,549.0,,215.0,UPDATE
134568,949.0,,395.0,UPDATE
134575,1149.0,,492.0,UPDATE
134578,1049.0,,438.0,UPDATE
134580,999.0,,415.0,UPDATE
134581,1099.0,,472.0,UPDATE
3137593,5399.0,,2555.0,UPDATE
134978,399.0,,165.0,UPDATE
135201,499.0,,208.0,UPDATE
135205,449.0,,173.0,UPDATE
135216,849.0,,358.0,UPDATE
135219,999.0,,419.0,UPDATE
135220,1149.0,,521.0,UPDATE
135222,1349.0,,593.0,UPDATE
135224,399.0,,166.0,UPDATE
135229,499.0,,189.0,UPDATE
48062,4399.0,,2078.0,UPDATE
135240,749.0,,318.0,UPDATE
135254,449.0,,172.0,UPDATE
818402,499.0,,198.0,UPDATE
135262,499.0,,201.0,UPDATE
135271,749.0,,314.0,UPDATE
135273,899.0,,391.0,UPDATE
135275,1149.0,,495.0,UPDATE
135284,399.0,,164.0,UPDATE
135287,549.0,,210.0,UPDATE
135290,649.0,,264.0,UPDATE
135368,499.0,,190.0,UPDATE
135370,549.0,,215.0,UPDATE
135420,499.0,,196.0,UPDATE
135421,499.0,,188.0,UPDATE
135425,499.0,,201.0,UPDATE
135427,499.0,,197.0,UPDATE
135437,949.0,,402.0,UPDATE
135443,1449.0,,659.0,UPDATE
829354,549.0,,217.0,UPDATE
828786,749.0,,293.0,UPDATE
135488,749.0,,295.0,UPDATE
829342,749.0,,299.0,UPDATE
3325142,2099.0,,934.0,UPDATE
3325144,1799.0,,801.0,UPDATE
3328374,1899.0,,860.0,UPDATE
135232,549.0,,211.0,UPDATE
241118,699.0,,301.0,UPDATE
3328376,1849.0,,823.0,UPDATE
3328396,1999.0,,888.0,UPDATE
3328509,1599.0,,720.0,UPDATE
135557,499.0,,193.0,UPDATE
135563,499.0,,192.0,UPDATE
821057,649.0,,260.0,UPDATE
3076454,5299.0,,2516.0,UPDATE
3077019,10499.0,,4981.0,UPDATE
3328514,2099.0,,935.0,UPDATE
3076849,8049.0,,3822.0,UPDATE
3083900,8499.0,,4030.0,UPDATE
3328538,1249.0,,560.0,UPDATE
3328540,1749.0,,783.0,UPDATE
830961,749.0,,312.0,UPDATE
135568,699.0,,282.0,UPDATE
135753,499.0,,192.0,UPDATE
3328542,1749.0,,786.0,UPDATE
3329282,1949.0,,869.0,UPDATE
135756,499.0,,188.0,UPDATE
3329300,1599.0,,720.0,UPDATE
135758,549.0,,213.0,UPDATE
135760,549.0,,217.0,UPDATE
135761,599.0,,230.0,UPDATE
3329326,1949.0,,885.0,UPDATE
