Variant SKU,Variant Price,Variant Cost,Compare At Action,Locked Compare At,Variant Command
3081623,3099,1807.0,KEEP,3849,UPDATE
3154112,4549,2666.0,KEEP,5149,UPDATE
3157129,5599,3297.0,KEEP,6549,UPDATE
3214437,2099,1247.0,KEEP,2499,UPDATE
3261633,6899,4047.0,KEEP,7949,UPDATE
3261684,2899,1711.0,KEEP,3849,UPDATE
3261705,2699,1586.0,KEEP,3249,UPDATE
3261709,6749,3954.0,KEEP,7799,UPDATE
3261713,4499,2635.0,KEEP,5199,UPDATE
3261716,6699,3940.0,KEEP,7799,UPDATE
3261717,7049,4132.0,KEEP,7999,UPDATE
3284359,4099,2399.0,KEEP,4649,UPDATE
3284363,4699,2733.0,KEEP,4999,UPDATE
3305617,3749,2190.0,KEEP,4149,UPDATE
3305623,3199,1872.0,KEEP,3649,UPDATE
3305643,4249,2490.0,KEEP,4749,UPDATE
3305651,3899,2281.0,KEEP,4449,UPDATE
3305665,4299,2516.0,KEEP,4799,UPDATE
3305667,4249,2490.0,KEEP,4749,UPDATE
3305695,4149,2422.0,KEEP,4649,UPDATE
3305699,4249,2511.0,KEEP,4849,UPDATE
3305703,4199,2438.0,KEEP,4699,UPDATE
3310022,3049,1777.0,KEEP,3199,UPDATE
3310050,2849,1654.0,KEEP,3249,UPDATE
3310148,2899,1714.0,KEEP,3249,UPDATE
3315002,2149,1261.0,KEEP,2549,UPDATE
3315003,1949,1132.0,KEEP,2299,UPDATE
3315005,1899,1106.0,KEEP,2249,UPDATE
3315008,2149,1254.0,KEEP,2499,UPDATE
3315009,1949,1127.0,KEEP,2299,UPDATE
3315013,2299,1338.0,KEEP,2849,UPDATE
3315014,2099,1242.0,KEEP,2599,UPDATE
3315015,2099,1240.0,KEEP,2449,UPDATE
3315021,1999,1151.0,KEEP,2399,UPDATE
3315022,1999,1172.0,KEEP,2499,UPDATE
3315023,1999,1157.0,KEEP,2349,UPDATE
3315024,1999,1172.0,KEEP,2349,UPDATE
3315026,2149,1263.0,KEEP,2549,UPDATE
3315027,1999,1172.0,KEEP,2399,UPDATE
3315029,2099,1241.0,KEEP,2449,UPDATE
3324611,6249,3655.0,KEEP,7399,UPDATE
3324639,8549,5015.0,KEEP,10049,UPDATE
3324658,8049,4715.0,KEEP,9349,UPDATE
3324660,8449,4972.0,CLEAR,8199,UPDATE
3328361,1749,1007.0,KEEP,2149,UPDATE
3328377,1649,914.0,KEEP,2049,UPDATE
3328381,1899,1114.0,KEEP,2299,UPDATE
3328382,2099,1215.0,KEEP,2449,UPDATE
3328384,2799,1630.0,KEEP,3149,UPDATE
3328385,2799,1615.0,KEEP,3199,UPDATE
3328387,2799,1633.0,KEEP,3199,UPDATE
3328507,1349,772.0,KEEP,1899,UPDATE
3328544,1649,917.0,KEEP,1999,UPDATE
3328548,2799,1619.0,KEEP,3049,UPDATE
3328649,2699,1573.0,KEEP,3549,UPDATE
3328653,2849,1657.0,KEEP,3699,UPDATE
3328694,1749,1017.0,KEEP,2249,UPDATE
3329106,5149,3004.0,KEEP,6099,UPDATE
3329254,4249,2463.0,KEEP,5099,UPDATE
3329279,1849,1087.0,KEEP,2299,UPDATE
3329297,1349,751.0,KEEP,1849,UPDATE
3329298,1249,687.0,KEEP,1699,UPDATE
3329355,2249,1309.0,KEEP,2549,UPDATE
3329387,2199,1293.0,KEEP,2699,UPDATE
3329388,2399,1384.0,KEEP,2699,UPDATE
3329427,2199,1293.0,KEEP,2549,UPDATE
3329429,2149,1269.0,KEEP,2699,UPDATE
3329430,2299,1330.0,KEEP,2649,UPDATE
3329475,2199,1286.0,KEEP,2649,UPDATE
3329477,1849,1092.0,KEEP,2249,UPDATE
3329478,1849,1075.0,KEEP,2249,UPDATE
3329483,1849,1095.0,KEEP,2249,UPDATE
3329484,1849,1079.0,KEEP,2249,UPDATE
3329512,3249,1885.0,KEEP,3899,UPDATE
3329529,2199,1280.0,KEEP,2699,UPDATE
3329531,1849,1067.0,KEEP,2249,UPDATE
3329532,1849,1051.0,KEEP,2249,UPDATE
3329571,2149,1265.0,KEEP,2649,UPDATE
3329573,1849,1052.0,KEEP,2249,UPDATE
3329574,1799,1038.0,KEEP,2199,UPDATE
3329619,2449,1439.0,KEEP,2849,UPDATE
3329621,2399,1424.0,KEEP,2849,UPDATE
3329623,2699,1582.0,KEEP,3099,UPDATE
3329625,2449,1442.0,KEEP,2899,UPDATE
3329630,2749,1595.0,KEEP,3099,UPDATE
3329631,2849,1644.0,KEEP,3099,UPDATE
3329633,2899,1684.0,KEEP,3199,UPDATE
3329634,2699,1584.0,KEEP,3199,UPDATE
3329640,2699,1585.0,KEEP,3199,UPDATE
3329641,3099,1825.0,KEEP,3599,UPDATE
3329671,2749,1593.0,KEEP,3199,UPDATE
3329673,2449,1442.0,KEEP,2899,UPDATE
3329680,2999,1757.0,KEEP,3649,UPDATE
3329682,2349,1352.0,KEEP,2849,UPDATE
3329769,2799,1618.0,KEEP,3349,UPDATE
3329783,2999,1750.0,KEEP,3249,UPDATE
3329785,3399,2008.0,KEEP,4149,UPDATE
3329817,2749,1609.0,KEEP,3299,UPDATE
3329820,2599,1525.0,KEEP,2999,UPDATE
3329823,2799,1614.0,KEEP,3349,UPDATE
3329824,3349,1984.0,KEEP,4199,UPDATE
3329825,2499,1461.0,KEEP,2849,UPDATE
3329827,2949,1724.0,KEEP,3599,UPDATE
3329828,2949,1737.0,KEEP,3599,UPDATE
3329912,2999,1769.0,KEEP,3449,UPDATE
3329914,3399,1998.0,KEEP,3899,UPDATE
3329927,2549,1496.0,KEEP,3199,UPDATE
3329941,2099,1226.0,KEEP,2599,UPDATE
3329946,2499,1464.0,KEEP,3149,UPDATE
3329951,3749,2183.0,KEEP,4599,UPDATE
3329954,3199,1873.0,KEEP,3599,UPDATE
3329957,2549,1498.0,KEEP,3099,UPDATE
3329958,2999,1771.0,KEEP,3449,UPDATE
3329962,2399,1423.0,KEEP,2999,UPDATE
3329964,4899,2860.0,KEEP,5399,UPDATE
3329966,2599,1531.0,KEEP,2999,UPDATE
3329973,4199,2444.0,KEEP,5099,UPDATE
3329975,3649,2125.0,KEEP,4499,UPDATE
3329995,2649,1559.0,KEEP,3149,UPDATE
3330004,3949,2328.0,KEEP,4949,UPDATE
3330006,2399,1406.0,KEEP,3049,UPDATE
3330009,4199,2445.0,KEEP,5149,UPDATE
3330013,2649,1540.0,KEEP,3099,UPDATE
3330014,3099,1825.0,KEEP,3499,UPDATE
3330016,2399,1423.0,KEEP,3099,UPDATE
3330027,4199,2444.0,KEEP,5199,UPDATE
3330028,4249,2512.0,KEEP,5249,UPDATE
3330030,4249,2481.0,KEEP,5199,UPDATE
3330031,2699,1567.0,KEEP,3149,UPDATE
3330034,2399,1376.0,KEEP,2949,UPDATE
3330047,3549,2079.0,KEEP,4399,UPDATE
3330074,2499,1453.0,KEEP,2949,UPDATE
3330080,2399,1390.0,KEEP,2949,UPDATE
3330081,4049,2380.0,KEEP,4999,UPDATE
3330082,4199,2449.0,KEEP,5149,UPDATE
3330084,4149,2432.0,KEEP,5099,UPDATE
3330086,3049,1773.0,KEEP,3399,UPDATE
3330088,2449,1442.0,KEEP,3099,UPDATE
3330090,4999,2917.0,KEEP,5399,UPDATE
3330091,2099,1201.0,KEEP,2499,UPDATE
3330092,2649,1557.0,KEEP,3099,UPDATE
3330096,2399,1425.0,KEEP,3049,UPDATE
3330098,2499,1452.0,KEEP,3099,UPDATE
3330099,4199,2441.0,KEEP,5249,UPDATE
3330142,2399,1412.0,KEEP,3049,UPDATE
3330143,2949,1733.0,KEEP,3499,UPDATE
3330146,2549,1493.0,KEEP,2999,UPDATE
3330148,3949,2319.0,KEEP,4899,UPDATE
3330181,2049,1194.0,KEEP,2499,UPDATE
3330199,2699,1578.0,KEEP,3099,UPDATE
3330200,3299,1915.0,KEEP,3749,UPDATE
3330202,3699,2150.0,KEEP,4249,UPDATE
3330216,3349,1934.0,KEEP,3749,UPDATE
3330221,2699,1575.0,KEEP,3099,UPDATE
3330224,3749,2184.0,KEEP,4299,UPDATE
3330228,4749,2789.0,KEEP,5299,UPDATE
3330230,2399,1420.0,KEEP,2949,UPDATE
3330231,2849,1656.0,KEEP,3499,UPDATE
3330237,4899,2867.0,KEEP,5649,UPDATE
3330253,2449,1428.0,KEEP,2949,UPDATE
3330254,2449,1443.0,KEEP,2999,UPDATE
3330255,2899,1684.0,KEEP,3549,UPDATE
3330263,4149,2412.0,KEEP,5049,UPDATE
3330272,2499,1454.0,KEEP,3049,UPDATE
3330276,2749,1599.0,KEEP,3399,UPDATE
3330278,2649,1553.0,KEEP,3299,UPDATE
3330280,4799,2820.0,KEEP,5799,UPDATE
3330281,4099,2387.0,KEEP,5149,UPDATE
3330282,4799,2825.0,KEEP,5949,UPDATE
3330283,2799,1623.0,KEEP,3149,UPDATE
3330287,3899,2298.0,KEEP,4349,UPDATE
3330289,2449,1445.0,KEEP,2899,UPDATE
3330291,2899,1704.0,KEEP,3649,UPDATE
3330294,2749,1603.0,KEEP,3449,UPDATE
3330296,2649,1545.0,KEEP,3299,UPDATE
3330297,4999,2911.0,KEEP,5899,UPDATE
3330299,4099,2390.0,KEEP,5199,UPDATE
3330301,2799,1626.0,KEEP,3149,UPDATE
3330303,2449,1438.0,KEEP,3149,UPDATE
3330314,2599,1529.0,KEEP,3299,UPDATE
3330315,4899,2864.0,KEEP,5749,UPDATE
3330318,4849,2835.0,KEEP,5849,UPDATE
3330332,2549,1480.0,KEEP,3149,UPDATE
3330334,4649,2723.0,KEEP,5699,UPDATE
3330355,2699,1575.0,KEEP,3049,UPDATE
3330366,2699,1562.0,KEEP,3349,UPDATE
3330369,4849,2840.0,KEEP,5749,UPDATE
3330371,4049,2378.0,KEEP,5049,UPDATE
3330375,2449,1426.0,KEEP,3249,UPDATE
3330379,2449,1449.0,KEEP,2999,UPDATE
3330381,2899,1707.0,KEEP,3649,UPDATE
3330388,4749,2781.0,KEEP,5849,UPDATE
3330390,4849,2831.0,KEEP,5949,UPDATE
3330438,2649,1544.0,KEEP,3299,UPDATE
3330443,3999,2347.0,KEEP,4949,UPDATE
3330452,2449,1443.0,KEEP,3049,UPDATE
3330453,2899,1684.0,KEEP,3649,UPDATE
3330461,4099,2401.0,KEEP,5199,UPDATE
3330486,3899,2282.0,KEEP,4649,UPDATE
3330493,3399,2010.0,KEEP,4099,UPDATE
3330497,3099,1800.0,KEEP,3599,UPDATE
3330498,3999,2333.0,KEEP,4649,UPDATE
3330506,3149,1841.0,KEEP,3799,UPDATE
3330508,5699,3352.0,KEEP,6349,UPDATE
3330509,2649,1549.0,KEEP,3299,UPDATE
3330510,3199,1862.0,KEEP,3949,UPDATE
3330519,3099,1801.0,KEEP,3599,UPDATE
3330522,4049,2372.0,KEEP,4649,UPDATE
3330527,3349,1963.0,KEEP,4149,UPDATE
3330532,3249,1879.0,KEEP,3899,UPDATE
3330533,3449,2030.0,KEEP,4299,UPDATE
3330534,4599,2687.0,KEEP,5799,UPDATE
3330539,6849,4011.0,KEEP,8449,UPDATE
3330540,5899,3462.0,KEEP,7349,UPDATE
3330547,2549,1504.0,KEEP,3199,UPDATE
3330555,6849,4009.0,KEEP,8299,UPDATE
3330556,5799,3399.0,KEEP,7199,UPDATE
3330557,2999,1753.0,KEEP,3499,UPDATE
3330558,3949,2316.0,KEEP,4649,UPDATE
3330559,3349,1982.0,KEEP,4149,UPDATE
3330560,3099,1820.0,KEEP,3799,UPDATE
3330562,5699,3354.0,KEEP,6299,UPDATE
3330571,6899,4029.0,KEEP,8449,UPDATE
3330572,5999,3499.0,KEEP,7199,UPDATE
3330575,3399,2006.0,KEEP,4099,UPDATE
3330577,4249,2513.0,KEEP,5249,UPDATE
3330579,2699,1580.0,KEEP,3249,UPDATE
3330580,3249,1890.0,KEEP,3849,UPDATE
3330587,6949,4053.0,KEEP,8449,UPDATE
3330588,5999,3508.0,KEEP,7199,UPDATE
3330593,4149,2419.0,KEEP,5099,UPDATE
3330594,5549,3241.0,KEEP,6149,UPDATE
3330595,2549,1491.0,KEEP,3099,UPDATE
3330597,3349,1944.0,KEEP,4099,UPDATE
3330598,4499,2626.0,KEEP,5549,UPDATE
3330604,5799,3405.0,KEEP,7049,UPDATE
3330605,2949,1744.0,KEEP,3449,UPDATE
3330607,3299,1930.0,KEEP,4099,UPDATE
3330609,4199,2446.0,KEEP,5149,UPDATE
3330620,5849,3428.0,KEEP,7299,UPDATE
3330622,3949,2325.0,KEEP,4549,UPDATE
3330624,2949,1741.0,KEEP,3649,UPDATE
3330629,3349,1945.0,KEEP,4149,UPDATE
3330635,6699,3933.0,KEEP,8249,UPDATE
3330636,5799,3388.0,KEEP,7049,UPDATE
3330637,2899,1714.0,KEEP,3449,UPDATE
3330639,3349,1970.0,KEEP,4149,UPDATE
3330640,3149,1830.0,KEEP,3799,UPDATE
3330644,3249,1889.0,KEEP,3949,UPDATE
3330646,4599,2693.0,KEEP,5849,UPDATE
3330688,3049,1786.0,KEEP,3799,UPDATE
3330692,3149,1844.0,KEEP,3849,UPDATE
3330693,3399,1994.0,KEEP,4249,UPDATE
3330694,4599,2687.0,KEEP,5699,UPDATE
3330701,3049,1786.0,KEEP,3499,UPDATE
3330702,3949,2319.0,KEEP,4649,UPDATE
3330707,2649,1550.0,KEEP,3299,UPDATE
3330708,3249,1898.0,KEEP,3949,UPDATE
3330709,3499,2047.0,KEEP,4349,UPDATE
3330710,4649,2704.0,KEEP,5849,UPDATE
3330715,6899,4029.0,KEEP,8499,UPDATE
3330716,5999,3499.0,KEEP,7249,UPDATE
3330717,3099,1804.0,KEEP,3599,UPDATE
3330737,4299,2527.0,KEEP,4549,UPDATE
3330741,3749,2195.0,KEEP,4649,UPDATE
3330743,2999,1765.0,KEEP,3549,UPDATE
3330746,5699,3359.0,KEEP,6649,UPDATE
3330748,3499,2053.0,KEEP,4349,UPDATE
3330769,4199,2456.0,KEEP,4549,UPDATE
3330771,2899,1709.0,KEEP,3549,UPDATE
3330774,5349,3131.0,KEEP,6649,UPDATE
3330779,2849,1666.0,KEEP,3549,UPDATE
3330780,3449,2019.0,KEEP,4299,UPDATE
3330787,2949,1723.0,KEEP,3599,UPDATE
3330794,5699,3340.0,KEEP,6599,UPDATE
3330852,4249,2473.0,KEEP,4999,UPDATE
3330853,3949,2304.0,KEEP,4449,UPDATE
3330871,3449,2029.0,KEEP,4049,UPDATE
3330873,3949,2312.0,KEEP,4699,UPDATE
3330875,3349,1939.0,KEEP,4049,UPDATE
3330877,3899,2277.0,KEEP,4599,UPDATE
3330878,6049,3537.0,KEEP,6699,UPDATE
3330879,2949,1723.0,KEEP,3649,UPDATE
3330892,4349,2540.0,KEEP,5099,UPDATE
3330893,3599,2109.0,KEEP,3999,UPDATE
3330902,5899,3462.0,KEEP,6499,UPDATE
3330904,3499,2045.0,KEEP,4349,UPDATE
3330941,3249,1899.0,KEEP,4049,UPDATE
3330942,3699,2146.0,KEEP,4249,UPDATE
3330943,3799,2233.0,KEEP,4549,UPDATE
3330973,2799,1632.0,KEEP,3449,UPDATE
3330991,2899,1692.0,KEEP,3299,UPDATE
3330996,4299,2530.0,KEEP,4949,UPDATE
3331083,4449,2611.0,KEEP,5249,UPDATE
3331085,3049,1793.0,KEEP,3599,UPDATE
3331197,4199,2456.0,KEEP,4699,UPDATE
3331198,4699,2745.0,KEEP,5549,UPDATE
3331220,3649,2132.0,KEEP,4449,UPDATE
