Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Command
136406,249,349,119.0,UPDATE
137367,1249,1699,727.0,UPDATE
137427,449,649,250.0,UPDATE
137433,949,1149,531.0,UPDATE
137435,499,799,281.0,UPDATE
137436,999,1199,583.0,UPDATE
137439,1249,1549,725.0,UPDATE
137505,999,1449,585.0,UPDATE
137511,1199,1749,686.0,UPDATE
141011,749,949,413.0,UPDATE
141304,849,1049,488.0,UPDATE
142553,1849,2399,1085.0,UPDATE
142915,1099,1449,643.0,UPDATE
144733,899,1149,520.0,UPDATE
145614,2799,3999,1634.0,UPDATE
145874,599,899,351.0,UPDATE
146890,1849,2699,1059.0,UPDATE
149013,1049,1299,599.0,UPDATE
180160,149,199,87.0,UPDATE
20288,499,649,281.0,UPDATE
240110,349,549,187.0,UPDATE
243449,599,849,343.0,UPDATE
243470,849,1099,500.0,UPDATE
244625,5049,7249,2963.0,UPDATE
244820,749,1099,420.0,UPDATE
245644,1749,2449,1012.0,UPDATE
249804,999,1499,582.0,UPDATE
273936,1649,2049,944.0,UPDATE
275271,3649,5299,2144.0,UPDATE
275272,5499,7999,3217.0,UPDATE
275338,8549,9999,5016.0,UPDATE
278859,2099,3199,1221.0,UPDATE
280855,1699,2199,991.0,UPDATE
283111,1049,1499,611.0,UPDATE
284090,1149,1449,672.0,UPDATE
284569,849,1249,496.0,UPDATE
284666,999,1299,581.0,UPDATE
288695,1249,1549,724.0,UPDATE
289198,1649,2499,965.0,UPDATE
289614,999,1399,576.0,UPDATE
3067788,3399,4649,1975.0,UPDATE
3068927,4449,5849,2596.0,UPDATE
3068947,4849,6149,2828.0,UPDATE
3068948,4699,5999,2761.0,UPDATE
3069009,4999,7399,2925.0,UPDATE
3069047,7099,9149,4156.0,UPDATE
3069049,7099,9199,4167.0,UPDATE
3076286,1249,1749,709.0,UPDATE
3076291,1949,2949,1141.0,UPDATE
3076529,3049,3899,1786.0,UPDATE
3076574,2899,4299,1688.0,UPDATE
3076579,2799,3899,1641.0,UPDATE
3076589,3799,5549,2219.0,UPDATE
3076734,4449,5649,2592.0,UPDATE
3076739,4249,5199,2489.0,UPDATE
3076749,5149,6949,3014.0,UPDATE
3076759,5149,7649,3014.0,UPDATE
3076764,6249,8849,3667.0,UPDATE
3076769,6199,7749,3627.0,UPDATE
3077074,8049,9999,4719.0,UPDATE
3077079,7899,9999,4631.0,UPDATE
3077099,8899,9999,5217.0,UPDATE
3077104,9999,14999,5872.0,UPDATE
3077109,9799,9999,5756.0,UPDATE
3077119,4299,6449,2515.0,UPDATE
3077169,7499,9999,4393.0,UPDATE
3095518,2199,3349,1277.0,UPDATE
3095519,2799,3499,1620.0,UPDATE
3095520,3649,4349,2140.0,UPDATE
3095527,3449,4299,2017.0,UPDATE
3095528,6249,9149,3656.0,UPDATE
3095529,4799,5749,2795.0,UPDATE
3095545,3899,5449,2281.0,UPDATE
3095572,5749,8049,3380.0,UPDATE
3095601,8999,9999,5294.0,UPDATE
3100613,1149,1499,669.0,UPDATE
3101047,1499,2149,864.0,UPDATE
3101242,1349,1649,772.0,UPDATE
3103672,1149,1399,675.0,UPDATE
3103802,1349,1699,789.0,UPDATE
3103867,1249,1599,712.0,UPDATE
3103957,1299,1749,747.0,UPDATE
3104022,1199,1499,693.0,UPDATE
3104087,1199,1849,693.0,UPDATE
3104177,1449,2099,848.0,UPDATE
3104242,1299,1799,752.0,UPDATE
310427,399,499,218.0,UPDATE
3104372,1199,1449,686.0,UPDATE
3104437,1299,1699,764.0,UPDATE
3104502,1199,1699,692.0,UPDATE
3104697,1149,1699,673.0,UPDATE
3104762,1199,1549,682.0,UPDATE
3104827,1299,1549,743.0,UPDATE
3104892,1199,1599,699.0,UPDATE
3104957,1149,1399,655.0,UPDATE
3105095,1199,1499,686.0,UPDATE
3105184,1149,1599,670.0,UPDATE
3105274,1199,1449,691.0,UPDATE
3105429,1199,1649,686.0,UPDATE
310547,1499,1849,853.0,UPDATE
3105494,1199,1549,682.0,UPDATE
310550,1899,2649,1117.0,UPDATE
3105559,1249,1699,734.0,UPDATE
3105624,1249,1599,718.0,UPDATE
3105754,1449,2149,841.0,UPDATE
3105819,1199,1599,685.0,UPDATE
3107377,1199,1599,701.0,UPDATE
312273,1199,1549,689.0,UPDATE
312274,1549,2249,896.0,UPDATE
3156351,449,649,255.0,UPDATE
3156368,699,849,410.0,UPDATE
3156481,4849,6099,2836.0,UPDATE
3156485,6999,9949,4102.0,UPDATE
3157853,2799,4199,1638.0,UPDATE
3157855,3099,3749,1820.0,UPDATE
316152,899,1199,523.0,UPDATE
316526,349,499,178.0,UPDATE
316586,1699,2599,979.0,UPDATE
316791,749,1149,417.0,UPDATE
3203523,749,1049,424.0,UPDATE
320366,299,449,173.0,UPDATE
3210896,1499,1799,877.0,UPDATE
3210908,2249,2849,1315.0,UPDATE
3210920,2999,4149,1753.0,UPDATE
3210932,3749,4449,2192.0,UPDATE
3210944,4499,6299,2630.0,UPDATE
3210956,2249,3099,1300.0,UPDATE
3210968,2949,3599,1707.0,UPDATE
3210980,3699,4399,2151.0,UPDATE
3210992,4399,5249,2585.0,UPDATE
3211004,5149,7149,3010.0,UPDATE
3211254,1749,2499,1024.0,UPDATE
3211266,2649,3349,1536.0,UPDATE
3211278,3499,5349,2048.0,UPDATE
3211290,4399,6499,2560.0,UPDATE
3211302,5249,6999,3071.0,UPDATE
3211314,2599,3849,1505.0,UPDATE
3211326,3399,4749,1985.0,UPDATE
3211338,4249,5149,2484.0,UPDATE
3211350,5149,6849,3010.0,UPDATE
3211362,6049,7849,3535.0,UPDATE
3214984,4449,6199,2607.0,UPDATE
3214988,5249,6599,3069.0,UPDATE
3214996,7299,9999,4280.0,UPDATE
3215389,4449,6599,2594.0,UPDATE
3215393,5199,7949,3051.0,UPDATE
3215401,7249,9999,4256.0,UPDATE
3215798,5099,6699,2973.0,UPDATE
3215806,7099,9999,4164.0,UPDATE
321609,2549,3249,1488.0,UPDATE
3217072,2399,3099,1395.0,UPDATE
323595,2449,3349,1416.0,UPDATE
324836,1149,1399,663.0,UPDATE
326811,299,449,172.0,UPDATE
3277418,2399,3349,1394.0,UPDATE
3282742,1249,1649,731.0,UPDATE
3282743,1349,1849,767.0,UPDATE
3282744,1549,2099,884.0,UPDATE
3282764,1149,1649,667.0,UPDATE
3282766,1449,1899,824.0,UPDATE
3282787,1299,1649,761.0,UPDATE
3282788,1549,1999,898.0,UPDATE
3282789,1749,2399,1028.0,UPDATE
3295270,1849,2549,1062.0,UPDATE
3295277,2699,3349,1585.0,UPDATE
3305599,2249,2799,1305.0,UPDATE
3305601,2199,2949,1278.0,UPDATE
3305603,2399,3649,1408.0,UPDATE
3305605,2349,3449,1373.0,UPDATE
3305611,3649,5249,2137.0,UPDATE
3305613,3599,4649,2114.0,UPDATE
3305617,3749,4999,2188.0,UPDATE
3305623,3299,4899,1917.0,UPDATE
3305625,3199,3899,1877.0,UPDATE
3305627,3449,4549,2013.0,UPDATE
3305629,3349,4349,1969.0,UPDATE
3305635,4249,5499,2472.0,UPDATE
3305637,4149,5399,2416.0,UPDATE
3305639,4399,5199,2570.0,UPDATE
3305641,4299,5649,2513.0,UPDATE
3305647,3849,5799,2255.0,UPDATE
3305649,3799,4799,2208.0,UPDATE
3305651,3999,5349,2336.0,UPDATE
3305653,3949,5199,2298.0,UPDATE
3305659,4149,4949,2441.0,UPDATE
3305661,4149,6199,2416.0,UPDATE
3305663,4399,5399,2570.0,UPDATE
3305665,4299,5849,2514.0,UPDATE
3305671,3799,5149,2229.0,UPDATE
3305673,3799,4549,2208.0,UPDATE
3305675,3999,5299,2337.0,UPDATE
3305677,3949,5049,2298.0,UPDATE
3305683,4599,6799,2692.0,UPDATE
3305685,4499,5649,2629.0,UPDATE
3305687,4699,6399,2764.0,UPDATE
3305689,4649,5599,2729.0,UPDATE
3305695,4199,6399,2451.0,UPDATE
3305697,4149,5899,2427.0,UPDATE
3305699,4349,6249,2542.0,UPDATE
3305701,4299,5749,2520.0,UPDATE
3310041,3099,4349,1799.0,UPDATE
3310190,4549,6949,2668.0,UPDATE
3310193,4949,6149,2884.0,UPDATE
3310212,4349,5399,2544.0,UPDATE
3310215,4899,6549,2869.0,UPDATE
3310234,4399,6499,2586.0,UPDATE
3310237,4749,6849,2793.0,UPDATE
331538,1249,1699,706.0,UPDATE
331550,1549,2249,907.0,UPDATE
3329229,399,549,214.0,UPDATE
3356199,4449,5349,2597.0,UPDATE
3356200,4599,6299,2683.0,UPDATE
3356201,5049,6699,2962.0,UPDATE
3356202,5349,6499,3138.0,UPDATE
3356203,4549,6449,2671.0,UPDATE
337991,1049,1599,592.0,UPDATE
3380714,2499,2999,1442.0,UPDATE
3392645,4949,5949,2896.0,UPDATE
342641,899,1399,528.0,UPDATE
345210,499,599,291.0,UPDATE
351650,1449,1999,840.0,UPDATE
360432,349,499,180.0,UPDATE
360433,349,499,191.0,UPDATE
360434,349,549,180.0,UPDATE
360435,299,499,161.0,UPDATE
360436,299,449,156.0,UPDATE
360437,299,449,160.0,UPDATE
360438,299,449,169.0,UPDATE
360439,349,449,179.0,UPDATE
360441,249,349,136.0,UPDATE
360442,299,399,166.0,UPDATE
360443,249,399,119.0,UPDATE
360444,349,449,184.0,UPDATE
360445,349,449,180.0,UPDATE
360446,299,399,161.0,UPDATE
360447,399,549,218.0,UPDATE
