SKU,Retail_Price
3157128,3879
3157131,5609
3214432,1589
3214434,1769
3214436,1839
3214437,2019
3214438,2019
3214439,2019
3214448,2439
3214456,3719
3214457,3879
3214468,3419
3324604,5789
3324605,6549
3324606,6449
3324607,6309
3324609,4989
3324610,4919
3324611,4989
3324612,5299
3324613,5299
3324614,5299
3324615,5299
3324616,5299
3324617,5189
3324618,5149
3324629,5179
3324630,5179
3324631,5349
3324632,5349
3324634,5349
3324635,5349
3324637,5739
3324639,5169
3324640,5509
3324641,6809
3324643,5269
3324644,5449
3324645,5259
3324646,5259
3324658,6159
3324659,6559
3324660,5759
3324661,6359
3324663,6359
3324664,6349
3324666,6399
3324686,4339
3324687,5109
3324688,5009
3324719,4379
3324723,5459
3324727,3929
3324728,3929
3324740,4699
3324741,5169
3324742,4289
3324743,4919
3324745,4929
3324746,4919
3324748,4959
3324836,4209
3325140,1349
3325141,1349
3325142,1519
3325143,1519
3325144,1349
3325188,3719
3325189,3649
3325191,3649
3325192,3239
3325194,3119
3325195,3059
3325196,3859
3325197,3859
3325198,3229
3325202,2299
3325227,3059
3325228,3059
3325230,2929
3328359,1989
3328360,1829
3328361,1819
3328362,1869
3328363,1879
3328374,1509
3328376,1429
3328377,1469
3328378,1469
3328379,2079
3328381,1959
3328382,2019
3328383,2019
3328384,3059
3328385,2909
3328386,2899
3328387,2979
3328388,2989
3328394,1739
3328395,1649
3328396,1639
3328397,1689
3328398,1689
3328609,5089
3328611,3969
3328614,3219
3328616,2949
3328618,4439
3328619,3069
3328620,3069
3328647,1679
3328648,2399
3328649,2469
3328650,2869
3328651,2949
3328653,2619
3328655,3109
3328689,3679
3328690,4299
3328691,3559
3328692,3699
3328694,1839
3328695,2819
3328696,3489
3328698,3809
3329099,3079
3329102,4159
3329103,5029
3329104,5119
3329105,4269
3329106,4269
3329107,4179
3329108,4259
3329109,5229
3329110,5449
3329111,1959
3329112,1959
3329113,3049
3329114,3109
3329116,3939
3329117,4989
3329119,4109
3329120,4269
3329121,2069
3329122,1799
3329123,2009
3329124,1809
3329125,3099
3329126,2709
3329127,3019
3329128,2709
3329129,4129
3329130,3599
3329131,4019
3329132,3609
3329252,3229
3329253,3299
3329257,4279
3329261,3129
3329276,1459
3331813,4349
3331814,4349
3331815,3309
3331816,3309
3332500,1359
3332501,2129
3332514,1719
3332523,1379
3333050,2039
3333052,1339
3333053,1199
3333054,1559
3333055,929
3333056,1269
3333057,1859
3333059,2889
3333061,1559
3333062,1299
3333063,1299
3333064,1959
3333065,1989
3333066,639
3333077,1879
3333078,1959
3333102,1519
3333103,1499
3333104,1539
3333108,1539
3333860,1339
3333914,1469
3333926,1539
3333970,1599
3333977,1809
3333987,1199
3333991,1209
3333993,1839
3333997,1729
3334192,1879
3334194,1769
3334195,2039
3334200,1669
3334201,1719
3334202,1619
3334203,1619
3334204,1749
3334207,1619
3334209,2599
3334212,2529
3334213,2909
3334218,2359
3334219,2429
3334222,2529
3334227,1629
3334228,1679
3334229,1589
3334230,1589
3334231,1749
3334232,1629
3334233,1839
3334234,1589
3334235,1589
3334236,1389
3334238,1359
3334239,1349
3334240,1399
3334242,1449
3334246,2269
3334247,2149
3334248,2149
3334249,2379
3334251,2439
3334252,2149
3334255,2029
3334256,1919
3334257,1919
3334258,1989
3334259,1969
3334260,2049
3334261,1919
3334262,1919
3334263,1739
3334264,1759
3334265,1659
3334266,1659
3334267,1919
3334268,1709
3334270,1659
3334272,1619
3334273,1599
3334275,1509
3334276,1629
3334277,1559
3334278,1719
3334279,1509
3334281,2459
3334282,2489
3334284,2349
3334285,2709
3334286,2419
3334287,2849
3334288,2349
3334290,2279
3334291,2359
3334293,2239
3334295,2299
3334296,2589
3334297,2239
3334300,1569
3334301,1609
3334305,1559
3334306,1579
3334307,1609
3334311,1739
3334312,1739
3334313,1799
3334314,1859
3334315,1749
3334316,1629
3334317,1679
3334318,1679
3334319,1729
3334343,1639
3334346,1519
3334347,1529
3334348,1609
3334646,7789
3334654,8249
3334662,8249
3334666,10349
3334670,6369
3334674,7419
3334726,3659
3334730,5439
3334734,3879
3334738,5859
3334742,3879
3334746,5859
3334750,2879
3334754,3979
3334855,1799
3334857,3149
3334858,4069
3334859,4459
3334863,1799
3334864,2819
3334865,3589
3334866,4559
3334871,1859
3334872,2869
3334873,3269
3334874,4219
3334876,5599
3334877,5269
3334878,6229
3334879,1879
3334880,2889
3334881,3429
3334882,4439
3334883,4649
3334884,5649
3334887,1839
3334888,2819
3334889,3349
3334890,4329
3334891,4529
3334892,5509
3334893,5199
3334894,6149
3334895,1799
3334896,2769
3334897,3109
3334898,4079
3334899,4089
3334900,5049
3334947,1479
3334952,2339
3334953,1509
3334954,2459
3334955,1489
3334956,1439
3334957,1439
3334958,1369
3334960,1399
3334961,1559
3334962,1539
3334963,1609
3334964,1589
3334965,1519
3334966,1489
3334967,1479
3334968,1439
3335333,1599
3335334,1649
3335335,1559
3335336,1559
3335337,1559
3335338,1599
3335339,1559
3335340,1559
3335341,1689
3335342,1739
3335343,1649
3335344,1649
3335345,1649
3335346,1689
3335347,1649
3335348,1649
3335349,1779
3335350,1829
3335351,1729
3335352,1729
3335353,1729
3335354,1779
3335355,1729
3335356,1729
3335357,3369
3335358,3469
3335359,3269
3335360,3269
3335361,3259
3335362,3369
3335363,3259
3335364,3269
3335365,2919
3335366,3009
3335367,2839
3335368,2839
3335369,2839
3335370,2919
3335372,2839
3335373,3049
3335374,3139
3335375,2959
3335376,2959
3335377,2959
3335378,3049
3335379,2959
3335380,2959
3335381,3119
3335382,3209
3335383,3029
3335384,3029
3335385,3029
3335386,3119
3335387,3029
3335388,3029
3335389,3259
3335390,3359
3335391,3159
3335392,3159
3335393,3159
3335394,3259
3335395,3159
3335396,3159
3335398,3349
3335399,3159
3335400,3149
3335401,3159
3335402,3249
3335403,3149
3335404,3159
3335405,1669
3335406,1719
3335408,1619
3335409,1619
3335410,1669
